indicator_kp,cids_class
RuralArea,Area
UrbanArea,Area
PeriurbanArea,Area
LowIncomeArea,Area
OrganizationClient,Client
UniqueClient,Client
EnterpriseClient,Client
StakeholderClient,Client
ActiveClient,Client
UniqueClientHousehold,Client
ClientHousehold,Client
FarmerClient,Client
ReportingPeriod,DateTimeInterval
TemporaryEmployee,Employee
FulltimeManagementEmployeeManager,Employee
FulltimeParttimeTemporaryEmployee,Employee
FulltimeFemaleManagementEmployeeManager,Employee
LoanOfficer,Employee
ReportingPeriodOrganization,Organization
Microenterprises,Organization
PoorStudent,Person
Farmer,Person
Revenue,Quantity
MinimumWage,Quantity
OrganizationSupplier,Supplier
SmallholderFarmerSupplier,Supplier
ProducerSupplier,Supplier
Director,Employee
Individual,Person
Time,DateTime
Instructors,EducationThing
Tests,EducationThing
Learning,EducationThing
Test,EducationThing
Classroom,EducationThing
Taught,EducationThing
Courses,EducationThing
Scholarships,EducationThing
Attendance,EducationThing
Attending,EducationThing
Students,EducationThing
Education,EducationThing
Children,EducationThing
Enrolled,EducationThing
Advancing,EducationThing
Schooling,EducationThing
Teachers,EducationThing
Student,EducationThing
School,EducationThing
Educational,EducationThing
Score,EducationThing
Teacher,EducationThing
Level,EducationThing
Instructional,EducationThing
Investment,FinancialThing
Investments,FinancialThing
Lent,FinancialThing
Borrow,FinancialThing
Loan,FinancialThing
Lending,FinancialThing
Charitable,FinancialThing
Accounts,FinancialThing
Capital,FinancialThing
Finance,FinancialThing
Supported,FinancialThing
Financed,FinancialThing
Foundations,FinancialThing
Deposits,FinancialThing
Investing,FinancialThing
Funds,FinancialThing
Financing,FinancialThing
Expenditures,FinancialThing
Investors,FinancialThing
Borrowing,FinancialThing
Donations,FinancialThing
Loans,FinancialThing
Grants,FinancialThing
Contributions,FinancialThing
Invested,FinancialThing
Bank,FinancialThing
Balance,FinancialThing
Taxes,FinancialThing
Default,FinancialThing
Stake,FinancialThing
Accounting,FinancialThing
Dollar,FinancialThing
Currency,FinancialThing
Debt,FinancialThing
Paying,FinancialThing
Installment,FinancialThing
Savings,FinancialThing
Deposit,FinancialThing
Equity,FinancialThing
Financial,FinancialThing
Pay,FinancialThing
Written,FinancialThing
Insurance,FinancialThing
Assets,FinancialThing
Sheet,FinancialThing
Payroll,FinancialThing
Liquid,FinancialThing
Asset,FinancialThing
Tangible,FinancialThing
Profit,FinancialThing
Obligations,FinancialThing
Claim,FinancialThing
Outstanding,FinancialThing
Principal,FinancialThing
Term,FinancialThing
Subordinate,FinancialThing
Credit,FinancialThing
Cash,FinancialThing
Fiscal,FinancialThing
Interest,FinancialThing
Shareholders,FinancialThing
Account,FinancialThing
Flow,FinancialThing
Due,FinancialThing
Residual,FinancialThing
Inc,FinancialThing
Settled,FinancialThing
Revenue,FinancialThing
Earnings,FinancialThing
Money,FinancialThing
Profits,FinancialThing
Flows,FinancialThing
Income,FinancialThing
Governing,FinancialThing
Members,FinancialThing
Headquarters,FinancialThing
Directors,FinancialThing
Body,FinancialThing
Governance,FinancialThing
Committee,FinancialThing
Founders,FinancialThing
Incorporated,FinancialThing
Board,FinancialThing
Founded,FinancialThing
Streams,EnvironmentThing
Surface,EnvironmentThing
Marine,EnvironmentThing
Road,EnvironmentThing
Airport,EnvironmentThing
River,EnvironmentThing
Coastline,EnvironmentThing
Snow,EnvironmentThing
Railway,EnvironmentThing
Soaking,EnvironmentThing
Sea,EnvironmentThing
Arid,EnvironmentThing
Groundwater,EnvironmentThing
Flowing,EnvironmentThing
Rain,EnvironmentThing
Bodies,EnvironmentThing
Stream,EnvironmentThing
Freshwater,EnvironmentThing
Rivers,EnvironmentThing
Port,EnvironmentThing
Ecological,EnvironmentThing
Sustainable,EnvironmentThing
Environmental,EnvironmentThing
Threatened,EnvironmentThing
Efficiency,EnvironmentThing
Native,EnvironmentThing
Green,EnvironmentThing
Recycled,EnvironmentThing
Renewable,EnvironmentThing
Bio,EnvironmentThing
Sustain,EnvironmentThing
Hazardous,EnvironmentThing
Gas,EnvironmentThing
Toxic,EnvironmentThing
Pest,EnvironmentThing
Greenhouse,EnvironmentThing
Carbon,EnvironmentThing
Emissions,EnvironmentThing
Risk,EnvironmentThing
Gases,EnvironmentThing
Water,EnvironmentThing
Waste,EnvironmentThing
Flow,EnvironmentThing
Wastewater,EnvironmentThing
Landfill,EnvironmentThing
Light,EnvironmentThing
Energy,EnvironmentThing
