ID,Metric Name,Definition
PI6372,Client Individuals: Smallholder,Number of unique smallholder farmer individuals who were clients during the reporting period.
PI9991,Supplier Individuals: Smallholder,Number of smallholder farmers who sold to the organization during the reporting period.
PI7852,Payments to Supplier Individuals: Smallholder,Value of payments made to smallholder farmers who sold to the organization during the reporting period.
PI8632,Percent Smallholder Sourcing Payments,Percentage of payments made to smallholder farmer suppliers compared to total payments made to all suppliers of the organization during the reporting period.
PD1620,Crop Type,Type of crop(s) produced by the organization during the reporting period. Select from the options in the Reference List tab.
PD4686,Livestock/Fish Type,Type of livestock product(s) produced by the organization during the reporting period. Select from the options in the Reference List tab.
OI5408,Land Directly Controlled: Total,Area of land directly controlled by the organization during the reporting period.
OI1674,Land Directly Controlled: Cultivated,Area of land directly controlled by the organization and under cultivation. Report directly controlled land area cultivated during the reporting period.
OI6912,Land Directly Controlled: Sustainably Managed,Area of land directly controlled by the organization and under sustainable cultivation or sustainable stewardship. Report directly controlled land area sustainably managed during the reporting period.
OI2569,Land Directly Controlled: Treated with Pesticides,Area of land directly controlled by the organization and treated with pesticides. Report directly controlled land area treated during the reporting period.
OI9891,Pesticide Use,Amount of pesticides used during the reporting period on land area directly controlled by the organization.
PI9988,Purchase Contracts,Number of contracts/purchase agreements that the organization holds for purchase of its products/services. Report contracts fulfilled and outstanding as of the end of the reporting period.
PI3789,Land Indirectly Controlled: Total,Area of land indirectly controlled by the organization during the reporting period.
PI7403,Land Indirectly Controlled: Cultivated,Area of land indirectly controlled by the organization and under cultivation. Report indirectly controlled land area cultivated during the reporting period.
PI6796,Land Indirectly Controlled: Sustainably Managed,Area of land indirectly controlled by the organization and under sustainable cultivation or sustainable stewardship. Report indirectly controlled land area sustainably managed during the reporting period.
PI1568,Producer Price Premium,Price premium percentage that the producer (supplier) selling to the organization obtains from the organization for its goods or services during the reporting period.
PI3468,Average Client Agricultural Yield: Total,Average agricultural yield per hectare of clients (who were farmers) of the organization during the reporting period.
PI9421,Average Client Agriculture Yield: Smallholder,"Average agricultural yield per hectare, of clients (who were smallholder farmers) of the organization during the reporting period."
PI2422,Units/Volume Purchased at Price Premium,Units/volume purchased from supplier individuals and organizations that sold to the organization that have received a price premium during the reporting period.
PI2019,Units/Volume Purchased from Supplier Organizations: Total,Units/volume purchased from organizations that sold to the reporting organization during the reporting period.
PI8418,Units/Volume Purchased from Supplier Organizations: Local,Units/volume purchased from local organizations that sold to the reporting organization during the reporting period.
PI6652,Units/Volume Purchased from Supplier Organizations: Certified,Certified units/volume purchased from organizations who sold to the reporting organization during the reporting period.
PI5473,Units/Volume Purchased from Supplier Organizations: SME,Units/volume purchased from small-to-medium enterprises (SMEs) that sold to the reporting organization during the reporting period.
PI7923,Units/Volume Purchased from Supplier Individuals: Total,Units/volume purchased from individuals who sold to the organization during the reporting period.
PI9428,Units/Volume Purchased from Supplier Individuals: Female,Units/volume purchased from female individuals who sold to the organization during the reporting period.
PI6646,Units/Volume Purchased from Supplier Individuals: Minorities/Previously Excluded,Units/volume purchased from individuals belonging to minority or previously excluded groups who sold to the organization during the reporting period.
PI4982,Units/Volume Purchased from Supplier Individuals: Smallholder,Units/volume purchased from smallholder farmers who sold to the organization during the reporting period.
PI3825,Units/Volume Purchased from Supplier Individuals: Certified,Certified units/volume purchased from individuals who sold to the reporting organization during the reporting period.
PI2046,Average Supplier Agriculture Yield: Total,Average agricultural yield per hectare of individuals who sold to the organization (supplier individuals) during the reporting period.
PI1405,Average Supplier Agricultural Yield: Smallholder,Average agricultural yield per hectare of smallholder farmers who sold to the organization during the reporting period.
PI5935,Smallholder Agricultural Yield,Total agricultural yield of farmer client of the organization during the reporting period.
PI9151,Number of Threatened Species,Number of threatened species present on land directly controlled by the organization during the reporting period.
OI1479,Greenhouse Gas Emissions: Total,Amount of greenhouse gases (GHG) emitted through the organization's operations during the reporting period.
OI4112,Greenhouse Gas Emissions: Direct,Amount of greenhouse gases (GHG) emitted through the organization's operations from direct emissions sources during the reporting period.
